receptor,molecule_chembl_id,canonical_smiles,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2,relation,IC50_value_nM,MolWt,MolLogP,NumHAcceptors,NumHDonors,NumRotatableBonds,IC50_value_nM_norm,MolWt_norm,MolLogP_norm,NumHAcceptors_norm,NumHDonors_norm,NumRotatableBonds_norm
B2,CHEMBL1800963,COc1ccc(C[C@@H](C)NC[C@H](O)c2cc(O)cc(O)c2)c2ccccc12,CHEMBL210,,,CHEMBL3886528,21.823452,5.606564,=,3.98,367.45,3.51,5.0,4.0,7.0,0.0002932846764353598,0.627926791861218,0.8586956521739129,0.75,0.6666666666666666,0.7142857142857143
B2,CHEMBL1800934,COc1ccc(C[C@H](C)NC[C@H](O)c2cc(O)cc(O)c2)c2ccccc12,CHEMBL210,,,CHEMBL3886528,21.795193,5.576911,=,4.37,367.45,3.51,5.0,4.0,7.0,0.00032238926264650244,0.627926791861218,0.8586956521739129,0.75,0.6666666666666666,0.7142857142857143
B2,CHEMBL229476,C[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,21.24061,5.198751,=,6.09,303.36,2.06,5.0,5.0,6.0,0.00045074795055205426,0.4094952455608193,0.4646739130434782,0.75,0.9999999999999999,0.5714285714285714
B2,CHEMBL229477,C[C@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,21.30054,5.271179,=,6.74,303.36,2.06,5.0,5.0,6.0,0.000499255594237292,0.4094952455608193,0.4646739130434782,0.75,0.9999999999999999,0.5714285714285714
B2,CHEMBL4280606,COc1ccc(CCNC[C@H](O)c2ccccc2)cc1OC,CHEMBL210,,,CHEMBL4257493,-11.788672,4.7982607,=,8400.0,301.39,2.57,4.0,2.0,8.0,0.6268642793443259,0.4027810913056814,0.6032608695652173,0.5,0.0,0.8571428571428571
B2,CHEMBL388177,C[C@H](Cc1cccc2ccccc12)NC[C@@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,21.691511,5.485239,=,14.8,337.42,3.51,4.0,4.0,6.0,0.0011007503759342385,0.5255785419719846,0.8586956521739129,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL1800960,CC[C@@H](Cc1ccc(O)cc1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,-17.088804,-5.255941,=,17.88,317.39,2.45,5.0,5.0,7.0,0.0013306019798581337,0.45731229337786716,0.5706521739130435,0.75,0.9999999999999999,0.7142857142857143
B2,CHEMBL1800962,C[C@@H](Cc1ccc2ccccc2c1)NC[C@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,21.36952,5.184057,=,72.6,337.42,3.51,4.0,4.0,6.0,0.00541419930671383,0.5255785419719846,0.8586956521739129,0.5,0.6666666666666666,0.5714285714285714
B2,CHEMBL389390,C[C@@H](Cc1ccc(O)cc1)NC[C@@H](O)c1cc(O)cc(O)c1,CHEMBL210,,,CHEMBL3886528,21.406893,5.1616626,=,184.2,303.36,2.06,5.0,5.0,6.0,0.013742588591748477,0.4094952455608193,0.4646739130434782,0.75,0.9999999999999999,0.5714285714285714
B2,CHEMBL228417,COc1ccc(C[C@H](C)NC[C@@H](O)c2cc(O)cc(O)c2)cc1,CHEMBL210,,,CHEMBL3886528,-18.095636,5.029072,=,337.2,317.39,2.36,5.0,4.0,7.0,0.025160541643812102,0.45731229337786716,0.546195652173913,0.75,0.6666666666666666,0.7142857142857143
