,receptor,molecule_chembl_id,canonical_smiles,type,relation,value,units,target_id,action_type,nombre_comercial,document_chembl_id,UMAP-1,UMAP-2
32,A1,CHEMBL7707,Oc1ccc2c(c1O)CCC[C@H]2C1=NCCN1,ED50,=,7.2E-8,,CHEMBL2094251,,,CHEMBL1123755,9.962214,-14.912465
33,A1,CHEMBL7707,Oc1ccc2c(c1O)CCC[C@H]2C1=NCCN1,ED50,=,2E-9,,CHEMBL2094251,,,CHEMBL1123755,10.017966,-14.971329
34,A1,CHEMBL2110596,C=CCN1Cc2ccccc2-c2ccccc2C1,pA2,=,6.96,,CHEMBL2094251,,,CHEMBL1122788,-0.26286566,0.83452576
35,A1,CHEMBL1732,CN1C[C@H](C(=O)N[C@]2(C)O[C@@]3(O)[C@@H]4CCCN4C(=O)[C@H](Cc4ccccc4)N3C2=O)C[C@@H]2c3cccc4[nH]cc(c34)C[C@H]21,pA2,=,7.55,,CHEMBL2094251,,,CHEMBL1122788,-1.8379056,20.734093
36,A1,CHEMBL284782,C[C@H](Cc1ccc(OCC(=O)O)cc1)NC[C@H](O)c1cccc(Cl)c1,EC50,=,0.0000056,M,CHEMBL2094251,,,CHEMBL1125527,-2.5119407,-12.215389
37,A1,CHEMBL770,c1ccc(CC2=NCCN2)cc1,pA2,=,5.41,,CHEMBL2094251,,,CHEMBL1122788,-0.56697637,-2.5849304
38,A1,CHEMBL32590,C[C@H](Cc1ccc2c(c1)OC(C(=O)[O-])(C(=O)[O-])O2)NC[C@H](O)c1cccc(Cl)c1.[Na+].[Na+],EC50,>,0.001,M,CHEMBL2094251,,,CHEMBL1125527,-2.5177424,-12.483259
39,A1,CHEMBL10347,COC(=O)[C@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@H]2CC[C@@H]1O,pA2,=,5.89,,CHEMBL2094251,,,CHEMBL1122788,22.971638,-7.6022334
40,A1,CHEMBL7186,Oc1ccc2c(c1O)CCCC2C1=NCCN1,ED50,=,9.3E-8,,CHEMBL2094251,,,CHEMBL1123755,9.962822,-14.914262
41,A1,CHEMBL7186,Oc1ccc2c(c1O)CCCC2C1=NCCN1,ED50,=,1E-8,,CHEMBL2094251,,,CHEMBL1123755,10.036446,-14.985068
